2022-06-08 10:03:57,看影客,江湖么，走到哪都有是非，朝堂是个名利场，江湖便是个是非场，有人总想不明白这件事，好像仗剑骑马走天涯是件多了不得的事似的，临死都念叨着。岭的台词真的非常美,allstar50,力荐
2022-06-08 07:53:31,BravoHuihui,"
温客行好绝😭😭😭温周太配了！！！！！
我的第一部耽改剧哇！！！
武侠打戏啥的也可以~",allstar40,推荐
2022-06-08 07:22:39,第三话语,😅,allstar10,很差
2022-06-07 23:23:57,里美人,很好,allstar40,推荐
2022-06-07 22:07:12,Zaynah,温客行永远是我的心头好❤️,allstar50,力荐
2022-06-07 20:08:04,Hyunniiii,演技硬伤 剧情不连贯 不懂他们大悲大喜的来源 所以完全不共情 一个美丽木头和一个美丽骚包,allstar30,还行
2022-06-07 19:26:18,云烟成雨,"温客行的演技还需多加磨炼,看了几集弃。",allstar30,还行
2022-06-07 14:35:55,十橘九胖賽大象,龔俊看老婆時候的小狗眼神真是很到位，，，即便老婆灰頭土臉也能從骨相上認出來巴巴跟在後頭想貼貼。,allstar50,力荐
2022-06-07 10:45:54,野孩子,必须五分，故事服装打戏颜值演技，都没得说，对我来说是非常好非常好的电视剧了，太满意了，是我的入坑剧。从开播到现在，连充电屏保都是老温了,allstar50,力荐
2022-06-07 01:46:07,vera,烈女怕缠郎 有志者事竟成👍🏻,allstar50,力荐
2022-06-07 00:35:07,付惜瑰,部分改编令人汗颜，但难掩精彩的故事,allstar40,推荐
2022-06-06 22:36:54,花泽兔,明明温周，却只剩下一个人。,allstar40,推荐
2022-06-06 17:27:43,四目相对皆憨憨,剧情一般，没什么亮点,allstar20,较差
2022-06-06 17:17:13,Sam Lam,就是我看不习惯两个男的美来眼去的。真是受不了，但我又想看8。6分是怎么样的。所以就一直挣扎着看完了。。。就不能一男一女吗。,allstar30,还行
2022-06-06 16:01:57,揽流光,"耽改剧的打分就是宽容啊，当时打高分是希望那年的耽改101卷起来吗，谁占了便宜，实在不值。
还行就是还行，三星就是三星，上山下不来和拉人上山是两码事。",allstar30,还行
2022-06-06 14:06:10,琥珀川,p大的文和改编剧，总是给人一种，质量也不错，但啥也记不住的感觉。像白开水，虽然没什么味道，但是挺健康的,allstar30,还行
2022-06-06 13:35:17,Pumpkin,看完了有一种 大梦一场的感觉 醒来了也不住回味,allstar50,力荐
2022-06-06 10:14:03,IO,可以看,allstar30,还行
2022-06-06 09:30:24,露水馅儿,"看了一年多了，当时上了山就下不来了，被龚俊圈粉。还记得当时的快乐，最爱的情节是晒太阳名场面：
“我就是觉着，活着，给太阳晒着，还有个人的名字给我这么叫着，真的挺好”
——温客行《山河令》
“你来人间一趟，你要看看太阳。
和你的心上人，一起走在街上。”
——海子《夏天的太阳》 ",allstar50,力荐
2022-06-06 06:31:03,Sonia,虽然主角s了 但这个剧还是好看的😮‍💨,allstar50,力荐
2022-06-06 05:40:09,gliedern,攻是工具人的工。既套路也蠢。,allstar10,很差
2022-06-05 23:56:33,豆友178011469,好好看，懂得都懂,allstar10,很差
2022-06-05 21:57:22,老头背心,？？？我打过分啊？？？？,allstar50,力荐
2022-06-05 21:57:20,Azura,开始觉得可以二刷，三刷，四刷，但是越看越不敢看了…不要说演员难出戏，作为旁观者的我们又何尝不是，相信了…共情了…难以走出了…,allstar50,力荐
2022-06-05 17:45:18,深陷月亮,无语😓,allstar10,很差
2022-06-05 17:16:10,月隐时,"山河不足重，重在遇知己！
剧情好，配乐好，打戏好
除了瀚桑",allstar40,推荐
2022-06-05 16:28:49,大贯直子,一个陈情令、一个山河令，我都是看了一半没兴趣看结局，跑去看原著了，我觉得耽改本身就是有些先天不足的意味…让人看着总像吊着一口气似的被膈应,allstar30,还行
2022-06-05 15:11:25,恋曲,一般,allstar30,还行
2022-06-05 14:34:56,加贝快乐,你身上有光 我抓来看看 卧槽！！！ ,allstar50,力荐
2022-06-05 13:53:26,太阳鸟lst,看了第一集 剧情无聊得很 要说是武侠吧感觉比不过侠探简不知 不过据说后面剧情很好看 但是奈何我坚持不到了,allstar20,较差
2022-06-05 13:50:39,微蓝错写,但渡无所苦，我自迎接汝。,allstar50,力荐
2022-06-05 13:36:36,红桃皇后,重点夸夸编剧！演员演技颜值服化道打戏等其他方面都在及格线以上，越看越香～,allstar50,力荐
2022-06-05 10:51:03,取次花丛懒回顾§不想说话,颜控吃这一套，女儿女婿哭瞎。以及后来至今的剧外一地鸡毛真是让人心情复杂。,allstar40,推荐
2022-06-04 20:06:59,夜熬油,好久没看过这么爽的武侠片了，我愿给他100分,allstar50,力荐
2022-06-04 17:40:19,感叹号！,高开低走,allstar30,还行
2022-06-04 15:13:54,饼大仙儿,也许会是我的武侠启蒙。我太喜欢宿命与寻根。私心五颗星了。得君为友，不枉此生。,allstar50,力荐
2022-06-04 00:12:15,不知西东,真好啊，好基友,allstar50,力荐
2022-06-03 06:22:10,DEEPCOLOGNE,我来晚了 佳作！！,allstar50,力荐
2022-06-03 00:16:35,大萌,"剧好看的
（被逼到了地下室…）",allstar40,推荐
2022-06-02 22:44:01,松崎海,耽美最后一波大红利,allstar40,推荐
2022-06-02 21:56:08,管埋员,看了五分钟，感觉好无聊，怎么主角戏份这么少,allstar10,很差
2022-06-02 11:20:44,小車,都抱了，牵了，还求什么，隔壁想抱都没得安排——然后这部就被下架了。周子舒真是最好的师兄，那么温柔那么好，而谷主的眼神，分分钟甜得要命，过于般配了这对。,allstar50,力荐
2022-06-02 10:46:29,温泥,没想到岭已经是武侠文艺复兴了。,allstar40,推荐
2022-06-02 04:20:52,𝙃𝙮𝙖𝙘𝙞𝙣𝙩𝙝🦋,不多说了懂得都懂。,allstar10,很差
2022-06-01 21:59:00,啾,风光大葬，主角be，i mean 现实生活中的，各种意义上，笑的。,allstar10,很差
2022-06-01 17:06:21,嗯呐,"补个分。
好评：1.温客行还不错，一些动图还挺好看。2.不喜欢配音剧，但是这部剧配音真的特别好！3.女儿女婿演的很好，大婚拍的挺好挺虐。
差评：这剧编剧看过原著没？温客行和周子舒人设改了，剧情改了，立意改了。就用个壳子在那，所以就造成我看前边挺像那回事的，然后越往后越崩，全面垮台，整个内核都没了。",allstar20,较差
2022-05-31 19:40:14,神明大人,三星给中间的剧情。前几集和后几集都很拉胯。中间20集还可以。,allstar30,还行
2022-05-31 17:46:41,言灵,"温大美人真的绝了，窗下摇扇垂直入坑，马上点开山河令，虽然第一集谷主没有露全脸，但还是让我坚持到了第二集，真香。怎么能有人这么好看，现在每天首要关心的不是五湖盟处理的怎么样了，而且我们温大美人今天穿什么好看的衣服啊！
另外，温客行你赶紧搞事业吧，最近几集你被教育的太多了，整天委屈巴巴的我都要变成妈粉了，赶紧发疯搞事业！！！",allstar50,力荐
2022-05-31 13:42:31,丫丫,从头追到尾，标记下,allstar40,推荐
2022-05-31 12:02:01,Romantic,最近又看了一遍，可见我对这部剧的热爱。,allstar50,力荐
2022-05-31 11:08:02,火蓝舟云,补。6.5,allstar30,还行
2022-05-30 23:17:28,夏天的风,我永远会记得2021年的春天                                     记得阿絮说，人生不过一日三餐                        这部剧又激起了我对古诗词的向往，以后三刷的时候需要把好的台词记下来了                    周子舒yyds！,allstar50,力荐
2022-05-30 21:44:37,弱水三千任你泼,双男主，特别好看,allstar20,较差
2022-05-30 16:13:19,门口溜达500米,你身上有光，我抓来看看。,allstar40,推荐
2022-05-30 13:52:12,追光者,老温老温。绝了。心疼阿湘最后的结局。,allstar50,力荐
2022-05-30 12:05:21,想象竞合,我是人间客，醒来看日落。温客行是有一些俗世人间走一趟的人间客气质在身上的。导演好会拍，场景动作服饰也很好，女性角色好出彩！,allstar40,推荐
2022-05-30 06:41:00,SingLee625,bg BE那段我真的哭惨咯,allstar40,推荐
2022-05-30 02:06:06,Heartfield,还没看完就下架了，至于为什么没看完呢……大概是因为BGM从刘宇宁换到两个唱歌特别难听的人唱的了吧……,allstar30,还行
2022-05-30 01:20:51,朋也,补 还行吧,allstar50,力荐
2022-05-30 00:10:35,绫墨,21年真心的追过这部电视剧，也变成了龚俊短暂的粉丝，他代言的营养快线还有没出事前的维他柠檬茶都冲着他买过一箱，还有买过两次同款鞋子，但现在也变成路人不怎么关注了。是高三的一部分回忆，都回不去了。,allstar30,还行
